"Marca de temps","Utilitzaria aquest sistema freqüentment.","He trobat que el sistema era innecessàriament complex.","He trobat que el sistema era fàcil d'utilitzar.","Crec que necessitaria el suport d'una persona per a utilitzar el sistema.","Crec que les funcions del sistema estan ben integrades.","Crec que hi ha molta inconsistència en el sistema.","Imagino que la majoria de gent aprendria a utilitzar el sistema ràpidament.","Crec que el sistema és incòmode d'utilitzar.","M'he sentit segur a l'utilitzar el sistema.","He necessitat aprendre moltes coses abans de posar-me a utilitzar el sistema.","Estima la intensitat de l'entrenament i el teu índex de fatiga.","Valora de l'1 al 5 el grau d'entreteniment de l'entrenament.","Valora de l'1 al 5 si creus que el sistema pot contribuir a incrementar la motivació per la rehabilitació respiratòria."
"2022/01/03 6:39:45 p. m. CET","4","1","4","3","3","4","4","4","5","1","1","2","2"
"2022/01/04 9:06:19 a. m. CET","5","1","5","4","5","1","4","2","5","1","1","2","3"
"2022/01/04 3:27:03 p. m. CET","5","2","5","3","3","3","4","4","4","1","2","3","3"
"2022/01/04 5:29:34 p. m. CET","3","1","5","1","5","1","4","1","5","1","0","4","5"
"2022/01/04 6:31:25 p. m. CET","4","2","4","5","5","2","5","2","5","1","1","4","4"
"2022/01/04 8:09:11 p. m. CET","3","2","4","4","4","4","2","5","5","2","2","1","1"
"2022/01/04 9:38:53 p. m. CET","3","3","2","4","3","4","2","4","4","3","6","1","1"
"2022/01/05 12:19:50 p. m. CET","5","2","4","2","4","2","5","2","2","2","1","1","1"
"2022/01/05 1:12:18 p. m. CET","4","1","4","1","4","1","4","2","5","1","2","2","2"
"2022/01/05 3:51:28 p. m. CET","5","1","4","1","5","1","4","4","5","5","0","4","5"
"2022/01/05 4:21:33 p. m. CET","5","1","5","1","5","1","5","1","5","1","0","4","4"
"2022/01/05 5:41:40 p. m. CET","3","1","4","5","4","3","4","4","5","2","6","1","1"
